source,status,date,type,fromcountry,fromname,fromalterns,fromiso,fromfips,fromhasc,fromtype,fromcapitalname,fromcapital,tocountry,toname,toalterns,toiso,tofips,tohasc,totype,tocapitalname,tocapital,transfer_source,transfer_reference,transfer_geom
http://www.statoids.com/uno.html,Pending,1955-01-01,NewInfo,Norway,Opland,,05,NO11,NO.OP,,,,Norway,Oppland,,05,NO11,NO.OP,,,,,,
http://www.statoids.com/ung.html,Pending,1987-09-23,NewInfo,Nigeria,Federal Capital Territory,,,,,,,,Nigeria,Abuja Capital Territory,,,,,,,,,,
http://www.statoids.com/uno.html,NonActive,1950-01-01,NewInfo,Norway,Møre,,15,NO08,NO.MR,,,,Norway,Møre og Oppland,,15,NO08,NO.MR,,,,,,
http://www.statoids.com/uno.html,Pending,1950-01-01,NewInfo,Norway,Møre,,15,NO08,NO.MR,,,,Norway,Møre og Romsland,,15,NO08,NO.MR,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,Breakaway,Nigeria,Rivers,,,NI10,NG.RI,,,,Nigeria,Bayelsa,,,NI52,NG.BY,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,NewInfo,Nigeria,Rivers,,,NI10,NG.RI,,,,Nigeria,Rivers,,,NI50,NG.RI,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,Breakaway,Nigeria,Ondo,,,NI17,NG.ON,,,,Nigeria,Ekiti,,,NI54,NG.EK,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,NewInfo,Nigeria,Ondo,,,NI17,NG.ON,,,,Nigeria,Ondo,,,NI48,NG.ON,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,Breakaway,Nigeria,Bauchi,,,NI06,NG.BA,,,,Nigeria,Gombe,,,NI55,NG.GO,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,NewInfo,Nigeria,Bauchi,,,NI06,NG.BA,,,,Nigeria,Bauchi,,,NI46,NG.BA,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,Breakaway,Nigeria,Plateau,,,NI19,NG.PL,,,,Nigeria,Nasarawa,,,NI56,NG.NA,,,,,,
http://www.statoids.com/ung.html,Pending,1996-10-01,NewInfo,Nigeria,Plateau,,,NI19,NG,,,,Nigeria,Plateau,,,NI49,NG.PL,,,,,,
